brand_name,product_name,price_usd,product_description,ingredients,review_count	
LANEIGE,Hydro UV Defense Sunscreen Broad Spectrum  SPF 50+,$30.00,"What it is: A broad spectrum SPF 50+ moisture-based Korean sunscreen that provides UVA and UVB protection and delivers soothing hydration with no white cast.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, and Dryness




Formulation: Cream




Highlighted Ingredients:
- Broad Spectrum SPF 50+: Protects skin from both UVA and UBV rays.

- Centella Asiatica: Soothes.

- Glycerin and Hydro-Ionized Mineral Water: Hydrate.




Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free.




What Else You Need to Know: Your daily must-have for effective UVA and UVB protection and soothing hydration! Straight from Seoul, this sunscreen helps protect skin from harmful UVA rays that cause early visible signs of aging, as well as from UVB rays that damage the skin and lead to sunburn. The formula is dermatologist-tested, hypoallergenic, and leaves no white cast.




Clinical Results: In a 1-day independent consumer study on 35 women ages 25 to 45, immediately after use:
- 100% saw no white cast

- 100% agree product feels lightweight and doesn’t look greasy

- 97% agree product does not feel sticky and absorbed quickly","-Broad Spectrum SPF 50+: Protects skin from both UVA and UBV rays.
-Centella Asiatica: Soothes.
-Glycerin and Hydro-Ionized Mineral Water: Hydrate.

Avobenzone 2.5%, Homosalate 7%, Octisalate 4.5%, Octocrylene 9%, Water/Aqua/Eau, Propanediol, Butyloctyl Salicylate, Glycerin, Diphenylsiloxy Phenyl Trimethicone, Silica, Phenyl Trimethicone, Caprylyl Methicone, Behenyl Alcohol, Vp/Eicosene Copolymer, Trimethylsiloxysilicate, C14-22 Alcohols, Glyceryl Stearate, Peg-100 Stearate, 1,2-Hexanediol, Cetyl Alcohol, Potassium Cetyl Phosphate, Polyacrylate-13, Polyisobutene, C12-20 Alkyl Glucoside, Ethylhexylglycerin, Fragrance / Parfum, Disodium Edta, Polysorbate 20, Sorbitan Isostearate, Lavandula Angustifolia (Lavender) Flower Water, Butylene Glycol, Aloe Barbadensis Leaf Extract, Pentylene Glycol, Centella Asiatica Flower/Leaf/Stem Extract, Brassica Oleracea Italica (Broccoli) Extract, Hibiscus Abelmoschus Extract, Tocopherol, Magnesium Sulfate, Calcium Chloride, Xanthan Gum, Citric Acid, Sodium Benzoate, Potassium Sorbate, Manganese Sulfate, Chenopodium Quinoa Seed Extract, Zinc Sulfate, Ascorbyl Glucoside.",156
Topicals,Sealed Active Scar Filling Primer for Acne Prone Skin,$34.00,"What it is: A primer that fills in and smooths the look of indented acne scars and large pores for a primed, soft-matte finish. With daily use, the look of scar depth is reduced.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Fine Lines and Wrinkles, Pores, and Redness




Formulation: Lightweight Gel




Highlighted Ingredients:

- Medical-Grade Silicone: Creates the optimal environment for surface restoration.

- Biomimetic Peptide: Improves the appearance of indented scarring and smooths skin.

- Retinol (Vitamin A): A gentle, low-dose form that supports cellular turnover for improved smoothness.




Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.




What Else You Need to Know: This corrective active primer improves the appearance of indented scars primarily due to acne. It visibly fills in and smooths skin’s surface, leaving a soft-matte finish. With regular use, the active ingredients in a medical-grade delivery system encourage skin’s recovery and refine texture.




Clinical Results: In a consumer insight study of 37 participants, after 8 weeks:

-100% of participants reported an improvement in their overall skin texture

-97% noticed an improvement in the look of pitted acne scars

-100% noticed an improvement in the look of post-acne mark","-Medical-Grade Silicone: Creates the optimal environment for surface restoration.
-Biomimetic Peptide: Improves the appearance of indented scarring and smooths skin.
-Retinol (Vitamin A): A gentle, low-dose form that supports cellular turnover for improved smoothness.

Isododecane, Dimethicone Crosspolymer, Polyglyceryl-10 Laurate, Retinol, Palmitoyl Pentapeptide-4, Papain, Allium Cepa (Onion) Bulb Extract, Salicylic Acid, Glycerin, Phospholipids, Water/Aqua/Eau, Caprylic/Capric Triglyceride, Benzoic Acid, Sorbic Acid, Chlorphenesin, Phenoxyethanol, Mica (CI 77019).",358
Glow Recipe,Blackberry Retinol Blemish Serum,$48.00,"What it is: A triple-retinoid serum that helps minimize blemishes & unclog pores while smoothing texture & lines. Gentle on all skin types, designed for ages 20+.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Acne and Blemishes, Uneven Texture, and Fine Lines and Wrinkles




Formulation: Serum




Highlighted Ingredients:
- 0.16% Triple-Retinoid Blend (Retinol, Retinal, Retinyl Ester): Diminishes the look of blemishes and visibly resurfaces texture and pores.

- Blackberry Extract: Supports skin’s natural healing process for a stronger skin barrier.

- 8% Glycerin and Ectoin: Calms and soothes blemish-prone, sensitive skin while providing lasting hydration.




Ingredient Callouts: Free of formaldehydes, formaldehyde-releasing agents, mineral oil, oxybenzone, coal tar, and hydroquinone. It is also vegan.




What Else You Need to Know: This clinically effective, triple-retinoid serum is formulated to visibly clarify blemishes, unclog pores, and diminish the appearance of discoloration, fine lines, and wrinkles. This potent yet gentle 0.16-percent triple-retinoid blend of retinol, retinal, and retinyl ester maximizes the clarifying and resurfacing benefits of retinoids, with an infusion of ultra-hydrating extracts to soothe and nourish blemish-prone, sensitive skin.




Clinical Results: 

Based on a consumer use study of 29 participants, ages 20 and older, during a 4-week period:

•    97% Agree this serum is gentle enough to use every night

Based on a consumer use study of 29 participants, ages 20 and older, with self-perceived acne-prone skin during an 8-week period:

•    97% Agree skin texture looks & feels smoother

•    86% of consumers with acne-prone skin agreed skin is clearer


","-0.16% Triple-Retinoid Blend (Retinol, Retinal, Retinyl Ester): Diminishes the look of blemishes and visibly resurfaces texture and pores.
-Blackberry Extract: Supports skin’s natural healing process for a stronger skin barrier.
-8% Glycerin and Ectoin: Calms and soothes blemish-prone, sensitive skin while providing deep, lasting hydration.
Water/Aqua/Eau, Glycerin, Squalane, Neopentyl Glycol Diheptanoate, Ectoin, Limnanthes Alba Seed Oil, Rubus Fruticosus Fruit Extract, Bisabolol, Retinyl Linoleate, Epilobium Angustifolium Flower/Leaf/Stem Extract, Tocopheryl Acetate, Aloe Barbadensis Leaf Juice, Retinal, Hibiscus Sabdariffa Fruit Extract, Retinol, Tocopherol, Zingiber Officinale Root Extract, Sorbitan Isostearate, Erythritol, Citric Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ethylhexylglycerin, Sodium Phytate, Ammonium Polyacryloyldimethyl Taurate, Glycine Soja Oil, Sodium Hydroxide, Chlorphenesin, Phenoxyethanol, Fragrance/Parfum* 
*Natural Fragrance ",450
Dr. Idriss,Major Fade Active Seal Dark Spot Vitamin C Gel Moisturizer,$58.00,"What it is: A moisturizer that brightens, fades the look of dark spots, seals in discoloration-defending actives, and supports the skin barrier.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, and Dullness

Formulation: Lightweight Gel

Highlighted Ingredients:
- Vitamin C Ester (Tetrahexyldecyl Ascorbate): Brightening agent and antioxidant.
- 4-Butylresorcinol: Visibly fades discoloration.
- Ceramides: Support skin's moisture barrier.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.

What Else You Need to Know: The Major Fade Active Seal contains antioxidant and vitamin C serum and was developed by board-certified dermatologist Dr. Shereene Idriss (@shereeneidriss) with her favorite humectant, glycerin, and is clinically shown to visibly improve skin tone. This moisturizer is also oil-free and fragrance-free.

Clinical Results: In an independent clinical study and consumer-perception study of 29 subjects who used the Major Fade Solution System* for 8 weeks:
- 100% of users reported brighter and more radiant skin
- 97% of users reported a more even skin tone
- 90% of users reported a reduction in the appearance of hyperpigmentation

*Major Fade Flash Mask (three times per week at night), Major Fade Hyper Serum (two times per day, morning and night), and Major Fade Active Seal (two times per day, morning and night) (all sold separately)","-Vitamin C Ester (Tetrahexyldecyl Ascorbate): Brightening agent and antioxidant.
-4-Butylresorcinol: Visibly fades discoloration.
-Ceramides: Support skin's moisture barrier.

Water/Aqua/Eau, Glycerin, Tetrahexyldecyl ascorbate, Dimethicone, Polyacrylamide, 4-Butylresorcinol, Hexapeptide-2, Allantoin, Hydrolyzed Brassica Napus Seedcake Extract, Tremella Fuciformis Sporocarp Extract, Squalane, Dipotassium Glycyrrhizate, Pentylene Glycol, Butylene Glycol, Dimethicone Crosspolymer, C13-14 Isoparaffin, Ceramide NP, Ceramide AP, Ceramide EOP, Linoleic Acid, Phytosphingosine, Cholesterol, Sodium Lauroyl Lactylate, Xanthan Gum, Carbomer, Cetearyl Olivate, Sorbitan Olivate, Laureth-7, Caprylyl Glycol, Hexylene Glycol, Ethylhexylglycerin, Phenoxyethanol.",424
Paula's Choice,"Clinical PRO Retinaldehyde Dual-Retinoid Treatment for Clear, Luminous Skin",$68.00,"What it is: A high-potency dual retinoid formula delivers derm-level results for clear, luminous skin with minimal chance of irritation—no prescription needed.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Fine Lines and Wrinkles, Uneven Texture, and Acne and Blemishes




Formulation: Cream




Highlighted Ingredients:
- Retinaldehyde: Calcium encapsulated for advanced results with minimized irritation.

- Adapinoid: An oil-soluble retinoid that bioconverts to promote clear skin.

- Pomegranate Peel Extract: Supports healthy collagen production and soothes skin.




Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.




What Else You Need to Know: Next-gen retinoid supports cell renewal & promotes clear skin, delivering the closest to prescription-strength retinoic acid while minimizing irritation. The clinically proven treatment features a blend of encapsulated Retinaldehyde, Adapinoid & Pomegranate Peel to improve texture & luminosity. 




Clinical Results: 

100% had improved texture & luminosity. 

*Based on an independent clinical study with 44 subjects after 8 weeks

94% agreed felt gentle on skin.

Disclaimer: Based on an independent clinical study with 35 subjects after 3 weeks

Clinically & Dermatologically Tested","-Retinaldehyde: Calcium encapsulated for advanced results with minimized irritation.
-Adapinoid: An oil-soluble retinoid that promotes clear-looking skin.
-Pomegranate Peel Extract: Supports healthy collagen production and soothes.

Water (Aqua/Eau), Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Dimethicone, Polyglyceryl-2 Stearate, Propanediol, Polyglyceryl-3 Diisostearate, Sodium Stearoyl Glutamate, Retinal, Oleyl Adapalenate, Tocopherol, Tocopheryl Acetate, Saccharomyces Ferment Filtrate, Albatrellus Confluens (Mushroom) Extract, Punica Granatum Pericarp Extract, Glyceryl Stearate, Stearyl Alcohol, Hydroxyapatite, Butylene Glycol, Cetyl Glyceryl Ether, Ricinus Communis (Castor) Seed Oil, Sodium Polyacrylate, Isopropyl Myristate, Hydroxyacetophenone, Caprylhydroxamic Acid, Sodium Phytate, Xanthan Gum, Glycerin, Hydroxystearic Acid, 1,2-Hexanediol, Sorbitan Oleate, Naringin, Citric Acid, Titanium Dioxide (CI 77891).",663
Youth To The People,15% Vitamin C + Caffeine Energy Brightening Serum for Uneven Tone,$59.00,"What it is: A 15 percent vitamin C serum with caffeine and antioxidants that visibly brightens, evens skin tone, reduces hyperpigmentation, and protects against signs of aging.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, and Dullness

Formulation: Lightweight Liquid

Highlighted Ingredients:
- 15% Vitamin C Complex: Brightens to reduce the look of hyperpigmentation and firm the look of skin.
- Yerba Mate and Guayusa Extracts: High in caffeine and antioxidants to revive dull-looking skin.
- Passion and Dragon Fruit Extracts: Vitamin C-rich superfoods combat visible signs of aging.

Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This vitamin C face serum includes three forms of vitamin C, plus yerba mate plant caffeine for a super dose of antioxidants in one bottle. It's lightweight, nonsticky, great for acne-prone or sensitive skin, and lays well under makeup.

Clinical Results: In a 4-week consumer test:
- 90% saw an overall improvement in skin tone 
- 87% agree skin looks brighter 
- 80% saw a visible improvement in skin's texture 



CLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.","-15% Vitamin C Complex: Brightens to reduce the look of hyperpigmentation and firm the look of skin.
-Yerba Mate and Guayusa Extracts: High in caffeine and antioxidants to revive dull-looking skin.
-Passion and Dragon Fruit Extracts: Vitamin C-rich superfoods combat visible signs of aging.

Water/Aqua/Eau, 3-O-Ethyl Ascorbic Acid (Vitamin C), Tetrahexyldecyl Ascorbate (Vitamin C), Propanediol, Glycerin, Pentylene Glycol, Sodium Citrate, Squalane, Triethyl Citrate, Gluconolactone, Citric Acid, Polyhydroxystearic Acid, Polyglyceryl-6 Polyricinoleate, Xanthan Gum, Sodium Hyaluronate, Caffeine, Magnesium Ascorbyl Phosphate (Vitamin C), Sodium Stearoyl Glutamate, Sodium Benzoate, Lauroyl Lysine, Passiflora Edulis (Passionfruit) Extract, Sclerotium Gum, Lecithin, Ilex Guayusa Leaf Extract, Ilex Paraguariensis (Yerba Mate) Leaf Extract, Pullulan, Mannitol, Hylocereus Undatus (Dragon) Fruit Extract, Zingiber Officinale (Ginger) Root Oil, Calcium Gluconate, Silica, Potassium Sorbate, Phenoxyethanol, Ergothioneine.

.

The list of ingredients is subject to change, please consult the packaging of the product purchased.",1.6K
OLEHENRIKSEN,Banana Bright 15% Vitamin C Dark Spot Serum,$68.00,"What it is: A potent multi-acid serum—with 15 percent vitamin C, five percent PHAs, and hyaluronic acid—that instantly brightens, visibly firms, plumps skin with hydration, and reduces the appearance of dark spots, pores, and wrinkles.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dullness, Dark Spot, and Loss of Firmness and Elasticity




Formulation: Lightweight Serum




Highlighted Ingredients:

- Vitamin C (Ethyl Ascorbic Acid) 15%: A potent next-generation vitamin C derivative with superior stability and antioxidant capacity versus traditional vitamin C; this powerful antioxidant helps brighten skin and visibly reduce the appearance of fine lines, wrinkles, dark spots, and discoloration, while defending against environmental stressors.

- PHAs (Polyhydroxy Acids) 5%: An innovative alternative to AHAs that helps even skin tone and texture through chemical exfoliation, loosening and lifting dry, dead skin cells, and revealing newer, fresher skin beneath.

- Hyaluronic Acid: Helps plump skin’s surface with hydration and reinforce skin’s moisture barrier.




Ingredient Callouts: This product is vegan and cruelty-free.




What Else You Need to Know: This vegan, gluten, and cruelty-free serum contains Ole’s highest concentration of vitamin C for daily use. It combines three Ole Glow® icons—vitamin C, exfoliating acids, and banana-powder-inspired pigments—to visibly improve skin’s elasticity, boost radiance, and defend skin against pollution. And, with hyaluronic acid, this multi-acid serum helps reinforce the skin’s moisture barrier. Plus you’ll love this serum’s minimal, naturally derived orange scent that was rigorously tested for safety, toxicity, and allergens.




Clinical Results:

-Brighter, bouncier skin in 7 days

-Improves appearance of dark spots in 4 weeks

-Instantly improves the look of fine lines + wrinkles






CLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.","-Vitamin C (Ethyl Ascorbic Acid) 15%: A potent next-generation vitamin C derivative with superior stability and antioxidant capacity versus traditional vitamin C; this powerful antioxidant helps brighten skin and visibly reduce the appearance of fine lines, wrinkles, dark spots, and discoloration, while defending against environmental stressors.
-PHAs (Polyhydroxy Acids) 5%: An innovative alternative to AHAs that helps even skin tone and texture through chemical exfoliation, loosening and lifting dry, dead skin cells, and revealing newer, fresher skin beneath.
-Hyaluronic Acid: Helps plump skin’s surface with hydration and reinforce skin’s moisture barrier.

Aqua/Water/Eau, 3-O-Ethyl Ascorbic Acid, Neopentyl Glycol Diheptanoate, Gluconolactone, Cetearyl Olivate, Sorbitan Olivate, Citrus Aurantium Dulcis (Orange) Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Triethyl Citrate, Citrus Sinensis (Orange) Fruit Extract, Helianthus Annuus (Sunflower) Seed Oil, Potassium Hydroxide, Betaine, Panthenol, Phenoxyethanol, Hydroxyacetophenone, Aminomethyl Propanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Gluconic Acid, Tocopherol, Glycerin, Succinoglycan, Phytic Acid, Mica, Sodium Metabisulfite, Sodium Hyaluronate, Hyaluronic Acid, Caramel, Dipotassium Glycyrrhizate, Sodium Polyacrylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Phytate, Citrus Limon (Lemon) Fruit Extract, Rosa Canina Fruit Extract, Hippophae Rhamnoides Extract, Ascorbic Acid, Lycium Barbarum Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Linalool, Citral, Titanium Dioxide (Ci 77891), Yellow 5 (Ci 19140), Red 4 (Ci 14700).



The list of ingredients is subject to change, please consult the packaging of the product purchased.",1.2K
Drunk Elephant,C-Luma Hydrabright Gentle Hydrating Vitamin C Serum,$68.00,"What it is: A unique 10% vitamin C serum that visibly brightens, clarifies, and hydrates skin, revealing a noticeably more even and luminous complexion.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, Dryness, Redness , Dullness, Uneven Texture, Acne and Blemishes, and Loss of Firmness and Elasticity

Highlighted Ingredients:
- Sodium Ascorbyl Phosphate (9.0%): Visibly brightens, reduces blemishes, and improves the look of elasticity, fine lines, and wrinkles.
- Ascorbyl Glucoside (1.0%): Protects against UV damage and free radicals and improves the appearance of hyperpigmentation.
- Triple-Antioxidant Brightening Complex (Phloretin, Glutathione, and Diglucosyl Gallic Acid): Known to reduce the look of hyperpigmentation.

Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: Formulated with a gentle vitamin C blend and a triple-antioxidant brightening complex, C-Luma™ fades the look of hyperpigmentation and post-breakout marks, improves skin’s clarity, and reduces blemishes, all while delivering hydration instantly and over time for a clearer, brighter complexion.

Drunk Elephant is committed to using only ingredients that either directly benefit the health of the skin or support the integrity of their formulations. The brand focuses on healthy pH levels, formulations the skin recognizes, small molecular structure that’s easily absorbed, and effective active ingredients that also support the skin’s acid mantle. All of their products are designed to be mixed together—what Drunk Elephant calls making a smoothie. (This is true for all of their products except their sunscreen, Umbra, which sits on top of the skin, protecting it from UV damage.) The result is skin that is reset to its happiest, healthiest state.

Drunk Elephant is a supporter of IEF (International Elephant Foundation) and is cruelty-free.

Clinical Results: In a clinical study with 30 people:
- C-Luma increased hydration immediately by 109%
- 100% showed improvement in skin’s elasticity after 4 weeks
- 93% had brighter skin after 12 weeks
- C-Luma improved the look of hyperpigmentation and skin's texture and tone after 8 weeks

Clean at Sephora
Our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness.","-Sodium Ascorbyl Phosphate (9.0%): Visibly brightens, reduces blemishes, and improves the look of elasticity, fine lines, and wrinkles.
-Ascorbyl Glucoside (1.0%): Protects against UV damage and free radicals and improves the appearance of hyperpigmentation.
-Triple-Antioxidant Brightening Complex (Phloretin, Glutathione, and Diglucosyl Gallic Acid): Known to reduce the look of hyperpigmentation.

Water, Propanediol, Sodium Ascorbyl Phosphate, Glycerin, Isodecyl Neopentanoate, Squalane, Neopentyl Glycol Diheptanoate, C9-12 Alkane, Sodium Polyacryloyldimethyl Taurate, Ascorbyl Glucoside, Coco-Caprylate/Caprate, Sclerocarya Birrea Seed Oil, Pullulan, Sclerotium Gum, Diglucosyl Gallic Acid, Sorbitan Sesquiisostearate, Glutathione, Sodium Hyaluronate, Sorbeth-30 Tetraisostearate, Dipropylene Glycol, Phloretin, Sodium Citrate, Sodium Metabisulfite, PPG-8-Ceteth-20, Gluconolactone, Acrylates/Beheneth-25 Methacrylate Copolymer, Citric Acid, Tetrasodium Glutamate Diacetate, Silica, Lecithin, Xanthan Gum, Tocopheryl Acetate, Sodium Hydroxide, Phenoxyethanol, Sodium Benzoate, Chondrus Crispus Extract.

The list of ingredients is subject to change. Please consult the packaging of the product purchased.",311
ALPYN,Vitamin C & Bearberry Instant Brightening Serum,$47.20,"What it is: A vitamin C- and bearberry-infused serum that quickly delivers a visible glow while fading the look of dark spots for a brighter, more even look.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, and Dullness




Formulation: Lightweight Serum




Highlighted Ingredients:

- Bearberry: Visibly brightens skin.

- Vitamin C: Protects against free-radical damage.

- Bakuchiol: Targets fine lines and wrinkles.




Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.




What Else You Need to Know: See your skin glow the second you smooth on this multitasking serum, then see it become visibly brighter and more even toned over time. Vitamin C and bearberry bring you visibly brightening benefits while bakuchiol—a plant-based alternative to retinol—and a gentle, plant-based AHA resurface and smooth skin for more visible luminosity.




alpyn beauty is the first and only skincare brand to sustainably harvest wild plants from the mountains of Jackson Hole, Wyoming and infuse them into their formulas. These highly resilient and wildly efficacious plants are conditioned to survive in the most extreme climate. When applied to skin, they behave just like they do in the wild: nourishing, protecting and deeply hydrating skin.

alpyn beauty is committed to sustainability through partnerships like 1% For the Planet, where a portion of every purchase goes directly to forest restoration efforts. To date, over 900 acres of wildlife-dependent grasslands have been restored.




Clinical Results: In an independent consumer-testing panel of 26 subjects, over a period of 14 days:

- 96% agreed their skin’s texture looked smoother

- 96% agreed their skin looked softer

- 92% agreed their skin felt firmer and looked brighter and more radiant




Clean & Planet Aware
Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.","-Bearberry: Visibly brightens skin.
-Vitamin C: Protects against free-radical damage.
-Bakuchiol: Targets fine lines and wrinkles.

Aloe Barbadensis (Aloe Vera) Leaf Juice, Cetearyl Alcohol, Glycerin, Squalane, Capryloyl Glycerin/Sebacic Acid Copolymer, Diheptyl Succinate, Mica, Titanium Dioxide, Bakuchiol, Tocopherol (Mixed), 3-O-Ethyl Ascorbic Acid, Glycolic Acid, Sodium Phytate, Sodium Hyaluronate, Hydrolyzed Sodium Hyaluronate, Azelaic Acid, Zinc Oxide, Xanthan Gum, Linoleic Acid, Cetearyl Glucoside, Arnica Montana (Arnica) Flower Extract, Simmondsia Chinensis (Jojoba) Seed Wax, Borago Officinalis (Borage) Flower Extract, Calendula Officinalis (Calendula) Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Salvia Officinalis (Sage) Leaf Extract, Dehydroacetic Acid (DHA), Benzyl Alcohol, Potassium Sorbate, Lactic Acid, Tripeptide-29, Hydrolyzed Lupine Protein, Centella Asiatica Meristem Cell Culture, Lavandula Angustifolia (Lavender) Oil, Citrus Aurantium Dulcis (Orange) Oil, Helianthus Annuus (Sunflower) Seed Oil, Arctostaphylos Uva Ursi (Bearberry) Leaf Extract, Water, Glycyrrhiza Glabra (Licorice) Root Extract, Ethylhexylglycerin, Tin Oxide, Caesalpinia Sappan Bark Extract.



The list of ingredients is subject to change, please consult the packaging of the product purchased.",242
Dieux,Deliverance Antioxidant & Niacinamide Serum For Calm & Even Skin,$69.00,"What it is: A potent-yet-gentle serum that supports the barrier, reduces redness, & helps even skin tone by combating the aging effects of inflammation over time.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dark Spots, Dullness, and Redness




Formulation: Lightweight Serum




Highlighted Ingredients:
- Antioxidant Blend: Is an infusion of encapsulated cannabinoids, water lily, and green tea that protects and soothes skin.

- Peptide Blend: Smooths and firms appearance of skin.

- Niacinamide 4%: Supports strong skin and visibly evens skin tone.




Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.




What Else You Need to Know: This fast-absorbing daily serum layers seamlessly under makeup and moisturizers, leaving skin soft, calm, and visibly even. Antioxidants soothe, clinically studied peptides visibly firm to reduce fine lines, and niacinamide evens the look of skin tone and texture.




Clinical Results: 

In a clinical study with twice-daily application, Deliverance:




Signficantly decreased fine lines and emerging wrinkles




Significantly improved skin texture




Significantly decreased the surface area of spots and uneven skin tone




In an independent, third-party clinical study with 32 people applying Instant Angel Lipid-Rich Barrier Repair Cream with Ceramides (sold separately) and Deliverance Antioxidant & Niacinamide Serum for Calm & Even Skin twice daily for 60 days:

- BTBP Clarity 3D Images found a significant decrease of fine lines and emerging wrinkles at week 4 and a significant decrease in surface area of spots and uneven skin tone at week 8","-Antioxidant Blend: Is an infusion of encapsulated cannabinoids, water lily, and green tea that protects and soothes skin.

-Peptide Blend: Smooths and firms appearance of skin.

-Niacinamide 4%: Supports strong skin and visibly evens skin tone.




Water/Aqua/Eau, Niacinamide, Glycerin, Dipropylene Glycol, Propanediol, Dimethicone, Cyclodextrin, Methylpropanediol, Sodium Palmitoyl Proline, Pentylene Glycol, Caprylyl Glycol, Phenoxyethanol, Sodium Polyacrylate, Shea (Butyrospermum Parkii) Butter, Polysilicone-11, Ammonium Acryloyldimethyltaurate/VP Copolymer, Butylene Glycol, Cannabigerol, Cannabinol, Cannabidiol, Sodium Phytate, Green Tea (Camellia Sinensis Leaf) Extract, Palmitoyl Hexapeptide-52, Purple Passionflower (Passiflora Incarnata) Extract, Decyl Glucoside, Water Lily (Nymphaea Alba) Extract, N-Prolyl Palmitoyl Tripeptide-56 Acetate




Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than 1% synthetic fragrance. Gluten-free, cruelty-free, and in recyclable packaging.",786
Dr. Jart+,Brightamin Brightening Serum with Niacinamide and Vitamin C,$37.00,"What it is: A 7-day skin brightening treatment that’s suitable for sensitive skin. Helps fade visible dark spots and fine lines. Formulated with Vitamin C and Niacinamide, freeze-dried for fresh use. 




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, and Dullness




Formulation: Lightweight Serum




Highlighted Ingredients:
- Antioxidant Vitamin C: Protects.

- Niacinamide (Vitamin B3) and Stellight™: Visibly brighten skin.




Ingredient Callouts: Free of parabens, formaldehydes, phthalates, mineral oil, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free.




What Else You Need to Know:  Designed for fresh use. Drop the potent Vitamin C and Niacinamide ball into the liquid serum to activate a powerful brightening treatment that reduces visible dark spots, fine lines and evens skin tone. Plus, the serum’s non-tacky texture wears well under makeup. 




Clinical Results: 

Clinically shown to: 




+ Fade visible dark spots and post blemish marks*




+ Reduce the look of fine lines*




*Clinical testing conducted by third party on 55 women, ages 25-50, after using product twice a day for 4 weeks. Effect varies by individual. 




In consumer testing: 

+ 93% said skin looks brighter in 7 days** 







**Consumer testing on 167 women after using the product twice daily for 1 week.","-Antioxidant Vitamin C: Protects.

-Niacinamide (Vitamin B3) and Stellight™: Visibly brighten skin.




Vitamin Ball Ascorbic Acid, Niacinamide, Hyaluronic Acid, Sodium Hyaluronate, Sodium Acetylated Hyaluronate, Panthenol, Cyanocobalamin, Adenosine, Citric Acid, Yellow 5 (Ci 19140), Water\Aqua\Eau, Methyl Gluceth-20, Niacinamide, Polyglycerin-3, 1,2-Hexanediol, Glycerin, Adenosine, Acetyl Hexapeptide-1, Xanthan Gum, Citric Acid, Sodium Citrate, Sodium Phytate, Phenoxyethanol.",862
