brand_name,product_name,price_usd,product_description,ingredients,review_count,country
medicube,Zero Pore Pad 2.0,18.2,"Achieve blemish-free skin with these toner pads formulated with AHA and BHA to gently slough away dead skin cells and purify pores for a smooth finish. Chock-full of plant extracts and natural oils, the formula offers gentle exfoliation while keeping skin moisturized and soothed.","['water', ' methylpropanediol', ' tromethamine', 'iron oxides', 'denatured alcohol', ' 1', '2-hexanediol', ' panthenol', ' glycereth-26', 'salicylic acid', ' ammonium acryloyldimethyltaurate/vp copolymer', ' betaine', ' trehalose', ' polyglyceryl-10 laurate', ' ethylhexylglycerin', ' glycerin', ' allantoin', ' polyglyceryl-10 myristate', ' disodium edta', ' butylene glycol', ' sodium hyaluronate', ' betaine salicylate', ' citrus aurantium dulcis (orange) peel oil', ' citrus limon (lemon) peel oil', ' citrus grandis (grapefruit) peel oil', ' citrus aurantium bergamia (bergamot) fruit oil', ' rosmarinus officinalis (rosemary) leaf oil', ' eucalyptus globulus leaf oil', ' lavandula angustifolia (lavender) oil', ' vitis vinifera (grape) fruit extract', ' citrus aurantifolia (lime) fruit extract', ' citrus limon (lemon) fruit extract', ' pyrus malus (apple) fruit extract', ' citrus aurantium dulcis (orange) fruit extract', ' ethyl hexanediol', ' centella asiatica extract', ' salix alba (willow) bark extract', ' origanum vulgare leaf extract', ' chamaecyparis obtusa leaf extract', 'soybean', ' cinnamomum cassia bark extract', ' scutellaria baicalensis root extract', ' portulaca oleracea extract', ' oenothera biennis (evening primrose) flower extract', ' pinus palustris leaf extract', ' ulmus davidiana root extract', ' pueraria lobata root extract', ' limonene']",1652.0,South Korea
COSRX,Advanced Snail 96 Mucin Power Essence,17.5,"Containing as much as 96% snail secretion filtrate, the advanced snail mucin essence from Korean beauty favorite COSRX adds intense moisture to hydrate skin while helping to repair damaged skin, reduce redness, and improve skin texture and pigmentation. A popular ingredient in any Korean skin care routine, snail slime is known to benefit aging skin and soften the appearance of fine lines. Its moisturizing and healing properties also make it great to use in combination with retinol or Vitamin C serums. Other key ingredients in this COSRX snail essence include sodium hyaluronate, allantoin, panthenol and arginine, which provide additional hydrating and elasticity-enhancing effects. Suitable for various skin types, including normal skin, oily skin and sensitive skin.","['snail secretion filtrate', ' betaine', ' butylene glycol', ' 1', '2-hexanediol', ' sodium polyacrylate', ' phenoxyethanol', ' sodium hyaluronate', ' allantoin', ' ethyl hexanediol', ' carbomer', ' panthenol', ' arginine']",25916.0,South Korea
Biodance,Bio Collagen,19.0,"This Korean collagen mask offers firming, moisturizing and brightening effects. It’s formulated with a blend of low-molecular collagen peptides, oligo hyaluronic acid and galatactomyces ferment filtrate that deeply hydrates and nourishes skin while promoting youthful-looking skin. The hydrogel material adheres well to face for deep delivery of skin care ingredients, while promoting a fuss-free experience. To use, apply at the end of skin care routine and leave on overnight to remove the next morning.","['water', ' collagen extract', ' galactomyces ferment filtrate', ' glycerine', ' acrylates copolymer', ' niacinamide', ' ceratonia siliqua (carob) gum', ' chondrus crispus extract', ' betaine', ' algin', ' dipropylene glycol', ' agar', ' hydroxyacetophenone', ' 1', '2-hexanediol', ' potassium chloride', ' polyglyceryl-10 laurate', ' caprylyl glycol', ' sucrose', ' butylene glycol', ' allantoin', ' ethylhexylglycerin', ' hydrolyzed hyaluronic acid', ' adenosine', ' disodium edta', ' pyrus communis (pear) fruit extract', 'water', ' iris florentina root extract', ' cucumis melo (melon) fruit extract', ' hedera helix (ivy) leaf/stem extract', ' dipotassium glycyrrhizate', ' bifida ferment filtrate', ' tocopherol', ' lactobacillus ferment', ' lactobacillus ferment lysate']",561.0,South Korea
medicube,Deep Vita C Capsule Cream,20.5,"This brightening cream packed with 500,000ppm of vitamin tree as well as Vitamin C capsules and five Vitamin C derivatives deliver major glow while firming, hydrating and refining skin. The gentle yet potent formula is dermatologically tested to be suitable for sensitive skin.","['water', ' butylene glycol', ' 1', '2-hexanediol', ' glycerin', 'water', ' niacinamide', ' methylpropanediol', ' propanediol', ' dipropylene glycol', ' caprylic/capric triglyceride', ' glycereth-26', ' ethylhexyl palmitate', ' cetearyl alcohol', ' arginine', ' cetearyl olivate', ' sorbitan olivate', ' ammonium acryloyldimethyltaurate/vp copolymer', ' helianthus annuus (sunflower) seed oil', 'soybean', ' bixa orellana seed oil', ' tocopherol', ' polyglyceryl-10 laurate', ' simethicone', ' carbomer', ' ethylhexylglycerin', ' hydrogenated lecithin', ' polyglyceryl-10 stearate', ' panthenol', ' sodium ascorbyl phosphate', ' folic acid', ' pyridoxine', ' biotin', ' cyanocobalamin', ' thiamine hcl', ' beta-carotene', ' riboflavin', ' linoleic acid', ' polyacrylate-13', ' polyisobutene', ' polysorbate 20', ' sorbitan isostearate', ' adenosine', 'fragrance', ' disodium edta', ' glyceryl stearate', ' hydrolyzed sclerotium gum', ' gluconolactone', ' sodium hyaluronate', ' ascorbyl propyl hyaluronate', 'alpha arbutin', ' pentylene glycol', ' hydroxyphenyl propamidobenzoic acid', ' ascorbyl palmitate', ' ubiquinone', ' ferulic acid', ' 3-o-ethyl ascorbic acid', ' ascorbyl glucoside', ' rutin', ' hydroxycinnamic acid', ' bisabolol ', ' ascorbic acid']",458.0,South Korea
medicube,Collagen Jelly Cream,22.5,"Reverse signs of aging with this gel cream amped up with collagen and elastin to improve skin elasticity and reduce wrinkles. Niacinamide and blueberry extract help promote a brighter complexion, while hyaluronic acid and squalane strengthen the skin’s moisture barrier. Formulated without artificial colorants, the cream’s pink hue comes from various vitamin-rich ingredients.","['water', ' propanediol', ' dipropylene glycol', ' butylene glycol', ' methylpropanediol', ' diethoxyethyl succinate', ' ethoxydiglycol', ' ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer', ' niacinamide', ' trehalose', ' 1', '2-hexanediol', ' chlorella vulgaris extract', ' collagen', ' hydrolyzed collagen', ' cynanchum atratum extract', ' althaea rosea flower extract', ' soluble collagen', ' allium sativum (garlic) bulb extract', ' avena sativa (oat) kernel extract', ' bertholletia excelsa seed extract', ' brassica oleracea italica (broccoli) extract', ' camellia sinensis seed extract', ' salmon egg extract', ' solanum lycopersicum (tomato) fruit extract', ' spinacia oleracea (spinach) leaf extract', ' vaccinium angustifolium (blueberry) fruit extract', ' wine extract', ' polyglyceryl-10 isostearate', ' tromethamine', ' glucose', ' polyglyceryl-10 oleate', ' ethylhexylglycerin', ' fructooligosaccharides', ' fructose', ' adenosine', ' sodium phytate', ' cyanocobalamin', ' tocopherol', ' pullulan', ' glycerin', ' hydroxypropyltrimonium hyaluronate', ' squalane', ' soluble proteoglycan', ' hydrolyzed elastin', ' sodium dna', ' carbomer', ' xanthan gum', 'fragrance']",1681.0,South Korea
LANEIGE,Lip Sleeping Mask EX Mini,5.32,"Wake up to smooth, plumped-up lips with this lip sleeping mask infused with Berry Mix Complex and hyaluronic acid for firming, hydrating and nourishing effects. To use, apply onto lips before bedtime. This product is mini-sized.","['diisostearyl malate', ' hydrogenated polyisobutene', ' phytosteryl/isostearyl/cetyl/stearyl/behenyl dimer dilinoleate', ' hydrogenated c6-14 olefin polymers', ' polybutene', ' microcrystalline wax', 'shea butter', ' synthetic wax', ' ethylene/propylene/styrene copolymer', ' sucrose tetrastearate triacetate', ' mica', ' euphorbia cerifera (candelilla) wax', ' candelilla wax esters', ' astrocaryum murumuru seed butter', 'titanium dioxide', 'fragrance', ' glyceryl caprylate', ' polyglyceryl-2 diisostearate', ' butylene/ethylene/styrene copolymer', ' copernicia cerifera (carnauba) wax', ' methicone', ' polyglyceryl-2 triisostearate', ' cocos nucifera (coconut) oil', ' sunset yellow fcf', ' pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', ' lithol rubine b', ' ascorbic acid', 'water', ' glycerin', ' propanediol', ' bht', ' punica granatum fruit juice', ' rubus idaeus (raspberry) juice', ' vitis vinifera (grape) juice']",12412.0,South Korea
SKIN 1004,Madagascar Centella Probio-Cica Bakuchiol Eye Cream,10.71,"This eye cream is formulated with bakuchiol to restore firmness in the delicate skin around the eyes. It features hyaluronic acid to deliver moisture, as well as ceramide NP, panthenol and niacinamide to target dark circles, fine lines and wrinkles.","['centella asiatica extract', ' glycerin', ' butylene glycol', ' dipentaerythrityl hexa c5-9 acid esters', ' 1', '2-hexanediol', ' niacinamide', ' squalane', 'water', ' polyglyceryl-3 distearate', ' cetearyl alcohol', ' caprylic/capric triglyceride', ' betaine', ' butyrospermum parkii (shea) butter', ' heptyl undecylenate', ' lactobacillus/centella asiatica extract ferment filtrate', ' glyceryl stearate', ' bakuchiol', ' panthenol', ' acrylates/c10-30 alkyl acrylate crosspolymer', ' palmitic acid', ' tromethamine', ' stearic acid', ' glyceryl stearate citrate', ' carbomer', ' ethylhexylglycerin', ' adenosine', ' macadamia ternifolia seed oil', ' sodium phytate', ' sodium hyaluronate', ' hydrogenated lecithin', ' ceramide np', ' glyceryl acrylate/acrylic acid copolymer', ' dextrin', ' theobroma cacao (cocoa) extract', ' polyglyceryl-10 myristate', ' phytosphingosine', ' madecassic acid', ' asiaticoside', ' hydrolyzed extensin', ' sucrose distearate', ' asiatic acid', ' lauric acid', ' phytosterols', ' hydrolyzed hyaluronic acid', ' caprylyl glycol', ' acetyl hexapeptide-8']",4200.0,South Korea
AXIS - Y,Dark Spot Correcting Glow Serum,16.5,"Boasting a cruelty-free and vegan-friendly formulation free from artificial colorants, mineral oils, fragrances and parabens, this serum refreshes and nourishes skin with extracts from calendula, papaya and sea buckthorn, while also offering brightening effects with rice bran extract.","['water', ' glycerin', ' niacinamide', ' sodium hyaluronate', ' propanediol', ' erythritol', ' butylene glycol', ' squalane', ' oryza sativa (rice) bran extract', ' calendula officinalis flower extract', ' carica papaya (papaya) fruit extract', ' hippophae rhamnoides fruit extract', ' malpighia emarginata(acerola)fruit extract', ' polyglyceryl-10 laurate', ' chlorphenesin', ' arginine', ' ethylhexylglycerin', ' carbomer', ' glutathione', ' 1', '2-hexanediol', ' hydroxypropyl cyclodextrin', ' disodium edta', ' hydroxyethylcellulose', ' allantoin', ' rosmarinus officinalis (rosemary) leaf oil']",8294.0,South Korea
Anua,Rice 70 Glow Milky Toner,18.96,"This nourishing toner is anchored in rice bran water and niacinamide to brighten skin, plus ceramide NP and sodium hyaluronate to up moisture levels. Betaine in the lightweight formula keeps flare-ups at bay. The toner is fragrance-free and dermatologically tested to be suitable for all skin types.","['water', ' 1', '2-hexanediol', ' oryza sativa (rice) extract', ' butylene glycol', ' glycerin', ' dipropylene glycol', ' niacinamide', ' propanediol', 'water', ' butylene glycol', ' 1', '2-hexanediol', ' dipropylene glycol', ' oryza sativa (rice) extract', ' hydrolyzed rice protein', ' oryza sativa (rice) seed protein', ' ceramide np', ' glycerin', ' diphenyl dimethicone', ' triethylhexanoin', 'water', ' hydrogenated lecithin', ' panthenol', 'water', ' methyl gluceth-20', ' betaine', ' glycerin', 'water', ' glyceryl acrylate/acrylic acid copolymer', ' butylene glycol', ' propanediol', ' hyaluronic acid', ' hydrolyzed hyaluronic acid', ' sodium hyaluronate', ' hydroxyacetophenone', ' adenosine', ' ethylhexylglycerin', ' carbomer', ' tromethamine', 'water', ' butylene glycol', ' 1', '2-hexanediol', ' allantoin', ' xanthan gum', ' theobroma cacao (cocoa) seed extract', ' dextrin', 'water', ' sodium lauroyl lactylate', ' 1', '2-hexanediol', ' ceramide np', ' ceramide ap', ' phytosphingosine', ' cholesterol', ' xanthan gum', ' carbomer', ' ethylhexylglycerin', ' ceramide eop', ' ascorbic acid', 'alpha arbutin']",1276.0,South Korea
Beauty of Joseon,Glow Serum,15.3,"Power up lackluster skin with this potent serum infused with 60% propolis and 2% niacinamide to fight inflammation, control sebum production and treat hyperpigmentation while keeping moisture levels high. The rich, honey-like texture absorbs swiftly into skin without leaving a sticky after-feel. Formulated using only EWG-certified ingredients, this serum is suitable for sensitive skin.","['propolis extract', ' dipropylene glycol', ' glycerin', ' butylene glycol', 'water', ' niacinamide', ' 1', '2-hexanediol', ' melia azadirachta flower extract', ' melia azadirachta leaf extract', ' sodium hyaluronate', ' curcuma longa (turmeric) root extract', ' ocimum sanctum leaf extract', ' theobroma cacao (cocoa) seed extract', ' melaleuca alternifolia (tea tree) extract', ' centella asiatica extract', ' corallina officinalis extract', ' lotus corniculatus seed extract', ' calophyllum inophyllum seed oil', ' betaine salicylate', ' sodium polyacryloyldimethyl taurate', ' tromethamine', ' polyglyceryl-10 laurate', ' caprylyl glycol', ' ethylhexylglycerin', ' dextrin', ' pentylene glycol', ' octanediol', ' tocopherol', ' xanthan gum', ' carbomer']",9890.0,South Korea
COSRX,The 6 Peptide Skin Booster,17.5,"This do-it-all serum is infused with 6 Peptide Complex to enhance skin elasticity and refine skin texture while providing pore care. The dermatologically tested formula also contains niacinamide to perk up dull skin, as well as hyaluronic acid and allantoin to moisturize skin.","['water', ' dipropylene glycol', ' glycerin', ' pentylene glycol', ' 1', '2-hexanediol', ' niacinamide', ' acetyl hexapeptide-8', ' copper tripeptide-1', ' sh-poly\x02peptide-121', ' dipeptide diaminobutyroyl benzylamide diacetate', ' oligopeptide-68', ' palmitoyl tripeptide-8', ' allantoin', ' sodium hyaluronate', ' acetyl glucosamine', ' serine', ' alanine', ' glycine', ' threonine', ' arginine', ' proline', ' betaine', ' sodium pca', ' sodium lactate', ' pca', ' glutamic acid', ' lysine hcl', ' tocopherol', ' dextran', 'soybean', ' hydrogenated lecithin', ' ammonium acryloyldimethyltaurate/vp copolymer', ' polyacrylate crosspolymer-6', ' butylene glycol', ' xanthan gum', ' ethylhexylglycerin', ' adenosine', ' polyquaternium-51', ' disodium edta', ' citric acid', ' caprylyl glycol', ' t-butyl alcohol', ' potassium sorbate', ' sodium oleate']",6458.0,South Korea
VT,Reedle Shot 100,29.18,"This ampoule is packed with various skin-soothers like cica extract, madecassoside and propolis extract to offer anti-inflammatory benefits. Hyaluronic acid and macadamia seed oil amp up skin’s moisture levels for a plump appearance. Thanks to the small molecular size of its active ingredients, the formula penetrates deep into the skin’s dermal layer for intense nourishment.","['water', ' dipropylene glycol', ' glycerin', ' niacinamide', ' butylene glycol', ' macadamia ternifolia seed oil', ' 1', '2-hexanediol', ' ethylhexyl palmitate', ' sodium acrylate/sodium acryloyldimethyl taurate copolymer', ' polyisobutene', ' silica', ' glycereth-26', ' ethylhexylglycerin', ' caprylyl glycol', ' adenosine', ' sodium polyacrylate', ' sodium hyaluronate', ' centella asiatica extract', ' caprylyl/capryl glucoside', ' sorbitan oleate', ' xanthan gum', ' propolis extract', ' asiaticoside', ' madecassoside', ' madecassic acid', ' asiatic acid', ' glycine', ' serine', ' glutamic acid', ' aspartic acid', ' leucine', ' alanine', ' lysine', ' arginine', ' tyrosine', ' phenylalanine', ' threonine', ' proline', ' valine', ' isoleucine', ' histidine', ' methionine', ' cysteine']",3148.0,South Korea
